entry_id,title,authors,year,journal,volume,pages,doi,arxiv_id,keywords,publication_type,featured,citation_count,research_area,relevance_score,abstract
10.1103/gpmh-1hqx,Enhancing Taiji’s parameter estimation under nonstationarity: A time-frequency domain framework for Galactic binaries and instrumental noises,Minghui Du; Ziren Luo; Peng Xu,2025,Physical Review D,,,10.1103/gpmh-1hqx,2506.10599,,preprint,False,0,data_analysis,1.0,
10.1103/xlqy-r6n3,Distinguishing monochromatic signals in LISA and Taiji: Ultralight dark matter versus gravitational waves,Heng Xu; Yue-Hui Yao; Yong Tang; Yue-Liang Wu,2025,Physical Review D,,,10.1103/xlqy-r6n3,2506.09744,,preprint,False,0,mission_design,1.0,
10.1007/s11433-025-2740-8,Gravitational wave cosmology,Ligong Bian; Rong-gen Cai; Yunyi Dong; Qing Gao; Yungui Gong; Zong-Kuan Guo; Qing-Guo Huang; Zhaofeng Kang; Li Li; Jing Liu; Lang Liu; Yu-Xiao Liu; Xuchen Lu; Zhizhen Peng; Jin Qiao; Puxun Wu; Yue-Liang Wu; Jiangfeng Yu; Chen Yuan; Chao Zhang; Tao Zhu,2025,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-025-2740-8,2505.19747,,preprint,False,0,science_case,1.0,
10.1007/s11433-025-2870-8,Towards realistic detection pipelines of Taiji: New challenges in data analysis and high-fidelity simulations of space-based gravitational wave antenna,Minghui Du; Pengcheng Wang; Ziren Luo; Wen-Biao Han; Xin Zhang; Xian Chen; Zhoujian Cao; Yonghe Zhang; He Wang; Xiaodong Peng; Li-E. Qiang; Ke An; Yidi Fan; Jiafeng Zhang; Liangliang Zhu; Ping Shen; Qianyun Yun; Xiao-Bo Zou; Ye Jiang; Tianyu Zhao; Yong Yuan; Xiaotong Wei; Yuxiang Xu; Bo Liang; Peng Xu; Yueliang Wu,2025,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-025-2870-8,2505.16500,,preprint,False,0,science_case,1.0,
10.1117/12.3070997,Research on structural analysis and improvement of telescope for space gravitational wave detection,Yang Song; Jing Ye; Xuyang Li; Desheng Wen; Wenyi Chai; Qinfang Chen; Hao Yuan; Guangwen Jiang,2025,"Third Conference on Space, Atmosphere, Marine, and Environmental Optics (SAME 2025)",,,10.1117/12.3070997,,,journal,False,0,,0.7,
10.1103/physrevd.111.103023,In-orbit characterization of radio-frequency ion micropropulsion in Taiji-1,Longfei Ma; Jianwu He; Chao Yang; Chu Zhang; Li Duan; Qi Kang; Peng Liu; Yongli Yin; Xuequan Zhang; Shuang Yang; Aibing Zhang; Yifang Xie; Changbin Xue; Zhi Wang,2025,Physical Review D,,,10.1103/physrevd.111.103023,,,journal,False,0,mission_design,1.0,
arxiv:2603.09547,Relativistic Corrections to the Formation Rate of Extreme Mass-Ratio Inspirals,Chen Feng; Yong Tang,2026,,,,,2603.09547,,preprint,False,0,mission_design,1.0,
arxiv:2603.07189,Conformal versus non-conformal two-Higgs-doublet model: phase transitions and gravitational waves,Nico Benincasa; Ji-Wei Li; Han Pu; Robert B. Mann; Vahid Shokrollahic; T. G. Steele; Zhi-Wei Wang,2026,,,,,2603.07189,,preprint,False,0,mission_design,1.0,
arxiv:2602.06731,Accelerating TTL noise post-processing via combined coefficients and alternative TDI configuration,Xue Wang; Gang Wang,2026,,,,,2602.06731,,preprint,False,0,instrument,1.0,
10.3847/1538-4357/ae29ad,Bayesian Analysis of Wave-optics Gravitationally Lensed Massive Black Hole Binaries with a Space-based Gravitational-wave Detector,Yong Yuan; Minghui Du; Xin-yi Lin; Huan Zhou; Peng Xu; Xilong Fan,2025,The Astrophysical Journal,,,10.3847/1538-4357/ae29ad,2509.01888,,preprint,False,0,data_analysis,1.0,
arxiv:2508.14655,Identifying Monochromatic Signals in LISA and Taiji via Spectral Split: Gravitational Waves versus Ultralight Dark Matter,Yue-Hui Yao; Tingyuan Jiang; Wenyan Ren; Di Chen; Yong Tang; Yu-Feng Zhou,2025,,,,,2508.14655,,preprint,False,0,instrument,1.0,
10.1088/1674-1137/ade65f,Detecting cosmological phase transitions with Taiji: sensitivity analysis and parameter estimation,Fan 帆 Huang 黄; Zu-Cheng 祖成 Chen 陈; Qing-Guo 庆国 Huang 黄,2025,Chinese Physics C,,,10.1088/1674-1137/ade65f,2504.16712,,preprint,False,0,data_analysis,1.0,
arxiv:2504.01809,Detector Response to Gravitational Wave Polarizations in Gravitational Quantum Field Theory,Cong Xu; Hong-Bo Jin; Yue Wu,2025,,,,,2504.01809,,preprint,False,0,mission_design,1.0,
10.1140/epjc/s10052-025-14840-4,Primordial black holes and scalar induced gravitational waves from sound speed resonance in non-minimal derivative coupling inflation model,Li-Shuai Wang; Qiong-Tao Xie; Li-Yang Chen,2025,The European Physical Journal C,,,10.1140/epjc/s10052-025-14840-4,2503.01460,,preprint,False,0,science_case,1.0,
10.1103/jvkp-kvpk,Identification of stochastic gravitational wave backgrounds from cosmic strings using machine learning,Xianghe Ma; Borui Wang; Nan Yang; Jin Li; Brendan Mccane; Mengfei Sun; Jie Wu; Minghui Zhang; Yan Meng,2025,Physical Review D,,,10.1103/jvkp-kvpk,2502.11804,,preprint,False,0,data_analysis,1.0,
10.1103/PhysRevD.111.104012,Constraining parity and Lorentz violations in gravity with future ground- and space-based gravitational wave detectors,Bo-Yang Zhang; Tao Zhu; Jian-Ming Yan; Jing-Fei Zhang; Xin Zhang,2025,Physical Review D,,,10.1103/PhysRevD.111.104012,2502.04776,,preprint,False,0,data_analysis,1.0,
10.1088/1475-7516/2025/04/044,Gravitational waves from metastable cosmic strings in the delayed scaling scenario,Yifan Hu; Kohei Kamada,2025,Journal of Cosmology and Astroparticle Physics,,,10.1088/1475-7516/2025/04/044,2501.18380,,preprint,False,0,,1.0,
10.1016/j.physletb.2025.139890,Detection of the stochastic gravitational wave background with the space-based gravitational-wave detector network,Jun Cheng; Enkun Li; Jianwei Mei,2025,Physics Letters B,,,10.1016/j.physletb.2025.139890,2501.14292,,preprint,False,0,data_analysis,1.0,
10.1360/sspma-2024-0357,Data analysis of space-borne gravitational wave missions,En-Kun Li; Hong-Yu Chen; Ya-Nan Li; Zhi-Yuan Li; Wang Han; Tian-Xiao Wang; Chang-Qing Ye; Xue-Ting Zhang; Yi Hu; Jianwei Mei,2025,"SCIENTIA SINICA Physica, Mechanica & Astronomica",,,10.1360/sspma-2024-0357,,,journal,False,0,data_analysis,1.0,
10.1016/j.actaastro.2025.01.047,Development of a micro-thrust measurement system and ground thrust measurement of the micro Hall thruster for Taiji mission,Shengtao Liang; Luxiang Xu; Shixu Lu; Liexiao Dong; Mingshan Wu; Jianfei Long,2025,Acta Astronautica,,,10.1016/j.actaastro.2025.01.047,,,journal,False,0,mission_design,1.0,
10.1103/337c-g6x1,Science opportunities of wet extreme mass-ratio inspirals,Zhenwei Lyu; Zhen Pan; Junjie Mao; Ning Jiang; Huan Yang,2024,Physical Review D,,,10.1103/337c-g6x1,2501.03252,,preprint,False,0,instrument,1.0,
10.1088/1361-6382/ae5144,Constraints and detection capabilities of GW polarizations with space-based detectors in different TDI combinations,Jie 洁 Wu 吴; Mengfei 孟飞 Sun 孙; Jin 瑾 Li 李,2024,Classical and Quantum Gravity,,,10.1088/1361-6382/ae5144,2411.03631,,preprint,False,0,instrument,1.0,
10.1088/1475-7516/2025/05/050,Circularly polarized gravitational wave background search with a network of space-borne triangular detectors,Ju Chen; Chang Liu; Yun-Long Zhang,2024,Journal of Cosmology and Astroparticle Physics,,,10.1088/1475-7516/2025/05/050,2410.18916,,preprint,False,0,mission_design,1.0,
10.1140/epjc/s10052-025-13778-x,Polarization modes of gravitational waves in scalar-tensor-Rastall theory,Yu-Zhi Fan; Xiao-Bin Lai; Yunyi Dong; Yu-Xiao Liu,2024,The European Physical Journal C,,,10.1140/epjc/s10052-025-13778-x,2409.18503,,preprint,False,0,,1.0,
10.1007/JHEP01(2025)129,Gravitational waves and dark matter in the gauged two-Higgs doublet model,Michael J. Ramsey-Musolf; Van Que Tran; Tzu-Chiang Yuan,2024,Journal of High Energy Physics,,,10.1007/JHEP01(2025)129,2408.05167,,preprint,False,0,science_case,1.0,
10.1103/PhysRevD.110.084057,Prospects of constraining on the polarizations of gravitational waves from binary black holes using space- and ground-based detectors,Jie Wu; Jin Li,2024,Physical Review D,,,10.1103/PhysRevD.110.084057,2407.13590,,preprint,False,0,mission_design,1.0,
10.1007/s11433-024-2498-0,Measuring the anisotropies in astrophysical and cosmological gravitational-wave backgrounds with Taiji and LISA networks,Zhi-Chao Zhao; Sai Wang,2024,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-024-2498-0,2407.09380,,preprint,False,0,,1.0,
10.1088/2632-2153/ad8da9,Rapid parameter estimation for merging massive black hole binaries using continuous normalizing flows,Bo Liang; Minghui Du; He Wang; Yuxiang Xu; Chang Liu; Xiaotong Wei; Peng Xu; Li-E. Qiang; Ziren Luo,2024,Machine Learning: Science and Technology,,,10.1088/2632-2153/ad8da9,2407.07125,,preprint,False,0,data_analysis,1.0,
10.3390/app14124963,The Optimization of Frequency Distribution Based on Genetic Algorithm for Space Gravitational Wave Observatories,Lixiao Zeng; Haojie Li; Weilai Yao; Jianyu Wang; Xindong Liang,2024,Applied Sciences,,,10.3390/app14124963,,,journal,False,0,instrument,1.0,
10.3390/s24123844,Research on High-Precision Resonant Capacitance Bridge Based on Multiple Transformers,Xin Liu; Yuzhu Chen; Longqi Wang; Tao Yu; Zhi Wang; Ke Xue; Yanlin Sui; Yongkun Chen,2024,Sensors,,,10.3390/s24123844,,,journal,False,0,data_analysis,1.0,
10.3390/universe10050219,Orbital Stability Study of the Taiji Space Gravitational Wave Detector,Yuyang Zhang; Gengxiang Li; Bo Wen,2024,Universe,,,10.3390/universe10050219,2405.09364,,preprint,False,0,mission_design,1.0,
10.1140/epjc/s10052-024-12841-3,Distinguishability of binary extreme-mass-ratio inspirals in low frequency band,Ye Jiang; Wen-Biao Han; Xingyu Zhong; Ping Shen; Zi-Ren Luo; Yue-Liang Wu,2024,The European Physical Journal C,,,10.1140/epjc/s10052-024-12841-3,,,journal,False,0,science_case,1.0,
10.3390/universe10040171,Search for Extreme Mass Ratio Inspirals Using Particle Swarm Optimization and Reduced Dimensionality Likelihoods,Xiao-Bo Zou; Soumya D. Mohanty; Hong-Gang Luo; Yu-Xiao Liu,2024,Universe,,,10.3390/universe10040171,,,journal,False,0,mission_design,1.0,
10.3390/s24082529,Sensor Head Temperature Distribution Reconstruction of High-Precision Gravitational Reference Sensors with Machine Learning,Zongchao Duan; Feilong Ren; Li-E. Qiang; Keqi Qi; Haoyue Zhang,2024,Sensors,,,10.3390/s24082529,,,journal,False,0,mission_design,1.0,
10.1103/PhysRevD.110.095015,Probing stochastic ultralight dark matter with space-based gravitational-wave interferometers,Yue-Hui Yao; Yong Tang,2024,Physical Review D,,,10.1103/PhysRevD.110.095015,2404.01494,,preprint,False,0,instrument,1.0,
10.1103/physrevd.109.063520,"Ability of LISA, Taiji, and their networks to detect the stochastic gravitational wave background generated by cosmic strings",Borui Wang; Jin Li,2024,Physical Review D,,,10.1103/physrevd.109.063520,,,journal,False,0,,1.0,
10.3847/1538-4365/ad5446,Improving Cosmological Constraints by Inferring the Formation Channel of Extreme-mass-ratio Inspirals,L. Zhu 朱; Hui-Min 会敏 Fan 范; Xian 弦 Chen 陈; Y. Hu 胡; J. Zhang 张,2024,The Astrophysical Journal Supplement Series,,,10.3847/1538-4365/ad5446,2403.04950,,preprint,False,0,instrument,1.0,
10.1016/j.rinp.2024.107819,Exploring time delay interferometry ranging as a practical ranging approach in the Bayesian framework,Minghui Du; Pengzhan Wu; Ziren Luo; Peng Xu,2024,Results in Physics,,,10.1016/j.rinp.2024.107819,2403.03060,,preprint,False,0,instrument,1.0,
10.1016/j.physletb.2024.139016,Gravitational Wave Signal Extraction Against Non-Stationary Instrumental Noises with Deep Neural Network,Yuxiang Xu; Minghui Du; Peng Xu; Bo Liang; He Wang,2024,Physics Letters B,,,10.1016/j.physletb.2024.139016,2402.13091,,preprint,False,0,data_analysis,1.0,
10.3390/universe10020096,Swarm Intelligence Methods for Extreme Mass Ratio Inspiral Search: First Application of Particle Swarm Optimization,Xiao-Bo Zou; Soumya D. Mohanty; Hong-Gang Luo; Yu-Xiao Liu,2024,Universe,,,10.3390/universe10020096,,,journal,False,0,data_analysis,1.0,
10.1103/physrevd.109.104022,Forecasts for constraining Lorentz-violating damping of gravitational waves from compact binary inspirals,Bo-Yang Zhang; Tao Zhu; Jing-Fei Zhang; Xin Zhang,2024,Physical Review D,,,10.1103/physrevd.109.104022,2402.08240,,preprint,False,0,source_modeling,1.0,
10.1063/5.0186061,Development and analysis of two-dimensional point-ahead angle mechanism for space gravitational-wave detection.,Weizhou Zhu; Yong Xie; Yuchen Qian; Jianjun Jia; Liang Zhang; Xue Wang,2024,Review of Scientific Instruments,,,10.1063/5.0186061,,,journal,False,0,mission_design,1.0,
10.1016/j.dark.2025.102072,Constant-roll inflation and primordial black holes within Barrow entropic framework,Qihong Huang; Li-Yang Chen; He Huang; Bing Xu; Kaituo Zhang,2024,Physics of the Dark Universe,,,10.1016/j.dark.2025.102072,2401.15451,,preprint,False,0,mission_design,1.0,
10.3390/s24030805,Research and Optimization of High-Performance Front-End Circuit Noise for Inertial Sensors,Yuzhu Chen; Xin Liu; Longqi Wang; Tao Yu; Zhi Wang; Ke Xue; Yanlin Sui; Yongkun Chen,2024,Sensors,,,10.3390/s24030805,,,journal,False,0,mission_design,1.0,
10.1103/PhysRevD.109.104014,Comparison and application of different post-Newtonian models for inspiralling stellar-mass binary black holes with space-based GW detectors,Jie Wu; Jin Li; Xiaolin Liu; Zhoujian Cao,2024,Physical Review D,,,10.1103/PhysRevD.109.104014,2401.03113,,preprint,False,0,source_modeling,1.0,
10.1029/2023SW003724,Study on Test‐Mass Charging for Taiji Gravitational Wave Observatory,Ruilong Han; Minghui Cai; Tao Yang; Liangliang Xu; Qing Xia; Xi Jia; Dawei Gao; Mengyao Li; Longlong Zhang; Hongwei Li; Jia Han,2024,Space Weather,,,10.1029/2023SW003724,,,journal,False,0,mission_design,1.0,
10.3390/s24010098,Study on the Effect of Micro-Force Perturbations and Temperature Fluctuation on Interferometer for the Taiji Program,Juan Wang; He-Shan Liu; Chao Yang; Keqi Qi; Zi-Ren Luo; Ran Yang,2023,Sensors,,,10.3390/s24010098,,,journal,False,0,mission_design,1.0,
10.3390/s23239431,Enhanced Detection Precision of the Taiji Program by Frequency Setting Strategy Based on a Hierarchical Optimization Algorithm,Jiafeng Zhang; Zhen Yang; Xiaoshan Ma; Xiaodong Peng; Chen Gao; Mengyuan Zhao; Wenlin Tang,2023,Sensors,,,10.3390/s23239431,,,journal,False,0,instrument,1.0,
10.3847/2041-8213/ad0bd9,Accretion-modified Stars in Accretion Disks of Active Galactic Nuclei: The Low-luminosity Cases and an Application to Sgr A*,Jian-Min Wang; Jun-Rong Liu; Yan-Rong Li; Yu-Yang Songsheng; Ye-Fei Yuan; Luis C. Ho,2023,The Astrophysical Journal Letters,,,10.3847/2041-8213/ad0bd9,2311.06781,,preprint,False,0,mission_design,1.0,
10.1016/j.rinp.2024.107607,Sky location of Galactic white dwarf binaries in space-based gravitational wave detection,Pan Guo; Hong-Bo Jin; Cong-Feng Qiao; Yue-Liang Wu,2023,Results in Physics,,,10.1016/j.rinp.2024.107607,2310.16796,,preprint,False,0,mission_design,1.0,
10.3390/s23218672,Autonomous State Estimation and Observability Analysis for the Taiji Formation Using High-Precision Optical Sensors,Bo Wen; Wenlin Tang; Xiaodong Peng; Zhen Yang,2023,Sensors,,,10.3390/s23218672,,,journal,False,0,mission_design,1.0,
10.1088/1475-7516/2024/03/022,Prospects for Taiji to detect a gravitational-wave background from cosmic strings,Zu-Cheng Chen; Qing-Guo Huang; Chang Liu; Lang Liu; Xiaojin Liu; You Wu; Yu-Mei Wu; Zhu Yi; Zhi-Qiang You,2023,Journal of Cosmology and Astroparticle Physics,,,10.1088/1475-7516/2024/03/022,2310.00411,,preprint,False,0,data_analysis,1.0,
10.1109/ICICSP59554.2023.10390595,Gap and Glitch Simulation for Taiji Data Challenge,Jiafeng Zhang; Xiaodong Peng; Mengyuan Zhao; Xu Peng; Pengzhan Wu; Gao Chen; Xiaoshan Ma,2023,2023 6th International Conference on Information Communication and Signal Processing (ICICSP),,,10.1109/ICICSP59554.2023.10390595,,,journal,False,0,,1.0,
10.4018/ijaci.330539,Taijiquan Auxiliary Training and Scoring Based on Motion Capture Technology and DTW Algorithm,Xia Feng; Xin Lu; Xingwei Si,2023,International Journal of Ambient Computing and Intelligence,,,10.4018/ijaci.330539,,,journal,False,0,,1.0,
10.1007/s11433-023-2270-7,Advancing space-based gravitational wave astronomy: Rapid parameter estimation via normalizing flows,Minghui Du; Bo Liang; He Wang; Peng Xu; Ziren Luo; Yueliang Wu,2023,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-023-2270-7,2308.05510,,preprint,False,0,data_analysis,1.0,
10.3390/universe9090407,Parameter Inference for Coalescing Massive Black Hole Binaries Using Deep Learning,Wen-Hong Ruan; He Wang; Chang Liu; Zongkuan Guo,2023,Universe,,,10.3390/universe9090407,2307.14844,,preprint,False,0,data_analysis,1.0,
10.1103/PhysRevD.108.083007,Sensitivity of space-based gravitational-wave interferometers to ultralight bosonic fields and dark matter,Jianglei Yu; Yue-Hui Yao; Yong Tang; Yue-Liang Wu,2023,Physical Review D,,,10.1103/PhysRevD.108.083007,2307.09197,,preprint,False,0,instrument,1.0,
10.1103/PhysRevD.108.124047,Subtraction of the confusion foreground and parameter uncertainty of resolvable galactic binaries on the networks of space-based gravitational-wave detectors,Jie Wu; Jin Li,2023,Physical Review D,,,10.1103/PhysRevD.108.124047,2307.05568,,preprint,False,0,mission_design,1.0,
10.1103/PhysRevD.108.082001,Calibration of the in-orbit center-of-mass of Taiji-1,Xiao-Long Wei; Li Huang; Tingyang Shen; Zhiming Cai; Ji-bo He,2023,Physical Review D,,,10.1103/PhysRevD.108.082001,2307.01724,,preprint,False,0,mission_design,1.0,
10.1016/j.asr.2023.07.017,A new window function for the spectral analysis of effect of celestial body on Taiji mission below 0.1 mHz,Xiaoqing Han; Wenlin Tang; Xiaodong Peng; Zhen Yang,2023,Advances in Space Research,,,10.1016/j.asr.2023.07.017,,,journal,False,0,mission_design,1.0,
10.1007/s11433-023-2276-1,Taiji-TianQin-LISA network: Precisely measuring the Hubble constant using both bright and dark sirens,Shang-Jie Jin; Yehong Zhang; Ji-Yu Song; Jing-Fei Zhang; Xin Zhang,2023,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-023-2276-1,2305.19714,,preprint,False,0,science_case,1.0,
10.1016/j.fmre.2023.10.007,On networks of space-based gravitational-wave detectors,Rong-Gen Cai; Zongkuan Guo; Bin Hu; Chang Liu; Youjun Lu; Wei-Tou Ni; Wen-Hong Ruan; Naoki Seto; Gang Wang; Yue-Liang Wu,2023,Fundamental Research,,,10.1016/j.fmre.2023.10.007,2305.04551,,preprint,False,0,instrument,1.0,
10.3390/rs15153817,A Systematic Approach for Inertial Sensor Calibration of Gravity Recovery Satellites and Its Application to Taiji-1 Mission,Haoyue Zhang; Peng Xu; Zongqi Ye; Dong Ye; Li-E. Qiang; Ziren Luo; Ke-qi Qi; Shaoxin Wang; Zhiming Cai; Zuolei Wang; Jun-Gang Lei; Yueliang Wu,2023,Remote Sensing,,,10.3390/rs15153817,2304.00675,,preprint,False,0,mission_design,1.0,
10.1007/JHEP09(2023)022,Gravitational waves from SU(N)/SP(N) composite Higgs models,Mads T. Frandsen; Matti Heikinheimo; Martin Rosenlyst; Mattias E. Thing; Kimmo Tuominen,2023,Journal of High Energy Physics,,,10.1007/JHEP09(2023)022,2302.09104,,preprint,False,0,science_case,1.0,
10.1007/s11433-022-2028-7,Exploring the nature of black hole and gravity with an imminent merging binary of supermassive black holes,Xingyu Zhong; Wen-Biao Han; Ziren Luo; Yueliang Wu,2023,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-022-2028-7,2305.04478,,preprint,False,0,pathfinder,1.0,
10.1088/1475-7516/2024/10/067,Sky localization of space-based detectors with time-delay interferometry,Tong Jiang; Yungui Gong; Xu Lu,2023,Journal of Cosmology and Astroparticle Physics,,,10.1088/1475-7516/2024/10/067,2301.05923,,preprint,False,0,mission_design,1.0,
10.1088/1475-7516/2023/06/020,Detecting vector charge with extreme mass ratio inspirals onto Kerr black holes,Chao Zhang; Hong Guo; Yungui Gong; Bin Wang,2023,Journal of Cosmology and Astroparticle Physics,,,10.1088/1475-7516/2023/06/020,2301.05915,,preprint,False,0,mission_design,1.0,
10.1007/s11467-023-1318-y,Taiji data challenge for exploring gravitational wave universe,Zhixiang Ren; Tianyu Zhao; Zhoujian Cao; Zongkuan Guo; Wen-Biao Han; Hong-Bo Jin; Yueliang Wu,2023,Frontiers of Physics,,,10.1007/s11467-023-1318-y,2301.02967,,preprint,False,0,mission_design,1.0,
10.1103/PhysRevD.107.064021,Confusion noise from Galactic binaries for Taiji,Chang Liu; Wen-Hong Ruan; Zong-Kuan Guo,2023,Physical Review D,,,10.1103/PhysRevD.107.064021,2301.02821,,preprint,False,0,mission_design,1.0,
